Frame 1:
  Bone: mixamorig:Hips, Position: (0.00, 0.87, 0.00), Rotation: (-0.01348, 0.00089, 0.01083, 0.99985)
  Bone: mixamorig:LeftUpLeg, Position: (-0.09, -0.10, -0.01), Rotation: (-0.03145, 0.05739, 0.99661, 0.04985)
  Bone: mixamorig:LeftLeg, Position: (0.00, 0.38, 0.00), Rotation: (-0.18550, 0.08528, 0.04398, 0.97795)
  Bone: mixamorig:LeftFoot, Position: (0.00, 0.30, 0.00), Rotation: (0.48765, 0.15196, -0.07548, 0.85639)
  Bone: mixamorig:LeftToeBase, Position: (0.00, 0.16, 0.00), Rotation: (0.37095, -0.03569, 0.01468, 0.92785)
  Bone: mixamorig:LeftToe_End, Position: (0.00, 0.06, 0.00), Rotation: (0.00000, 0.00000, 0.00000, 1.00000)
  Bone: mixamorig:RightUpLeg, Position: (0.09, -0.10, 0.01), Rotation: (0.10950, 0.04018, 0.99054, -0.07232)
  Bone: mixamorig:RightLeg, Position: (0.00, 0.38, 0.00), Rotation: (-0.16182, -0.04079, -0.04637, 0.98489)
  Bone: mixamorig:RightFoot, Position: (0.00, 0.30, 0.00), Rotation: (0.51125, -0.15541, 0.05089, 0.84373)
  Bone: mixamorig:RightToeBase, Position: (0.00, 0.18, 0.00), Rotation: (0.32037, 0.03298, -0.01116, 0.94665)
  Bone: mixamorig:RightToe_End, Position: (0.00, 0.07, 0.00), Rotation: (0.00000, 0.00000, 0.00000, 1.00000)
  Bone: mixamorig:Spine, Position: (0.00, 0.17, -0.01), Rotation: (-0.02788, 0.00135, -0.00161, 0.99961)
  Bone: mixamorig:Spine1, Position: (0.00, 0.20, 0.00), Rotation: (0.00888, 0.02166, 0.00050, 0.99973)
  Bone: mixamorig:Spine2, Position: (0.00, 0.22, 0.00), Rotation: (0.00883, 0.02166, 0.00012, 0.99973)
  Bone: mixamorig:LeftShoulder, Position: (-0.06, 0.21, -0.04), Rotation: (0.35008, -0.46898, 0.77003, 0.25408)
  Bone: mixamorig:LeftArm, Position: (0.00, 0.16, 0.00), Rotation: (0.42484, 0.03234, -0.05554, 0.90298)
  Bone: mixamorig:LeftForeArm, Position: (0.00, 0.28, 0.00), Rotation: (0.19867, -0.09034, -0.15645, 0.96327)
  Bone: mixamorig:LeftHand, Position: (0.00, 0.14, 0.00), Rotation: (0.07146, -0.56955, 0.14980, 0.80503)
  Bone: mixamorig:LeftHandIndex1, Position: (0.00, 0.37, 0.00), Rotation: (0.12097, 0.87772, 0.13799, 0.44265)
  Bone: mixamorig:LeftHandIndex2, Position: (0.00, 0.04, 0.00), Rotation: (-0.23165, -0.02741, 0.28440, 0.92990)
  Bone: mixamorig:LeftHandIndex3, Position: (0.00, 0.05, 0.01), Rotation: (0.06937, 0.01179, -0.02520, 0.99720)
  Bone: mixamorig:LeftHandIndex4, Position: (-0.01, 0.04, 0.00), Rotation: (0.00000, 0.00000, 0.00000, 1.00000)
  Bone: mixamorig:Neck, Position: (0.00, 0.25, 0.00), Rotation: (0.01245, -0.00784, 0.01236, 0.99982)
  Bone: mixamorig:Head, Position: (0.00, 0.12, 0.00), Rotation: (0.04820, 0.01485, -0.03155, 0.99823)
  Bone: mixamorig:HeadTop_End, Position: (0.00, 0.15, 0.00), Rotation: (0.00000, 0.00000, 0.00000, 1.00000)
  Bone: mixamorig:RightShoulder, Position: (0.06, 0.20, 0.03), Rotation: (0.74889, 0.29530, -0.40367, 0.43476)
  Bone: mixamorig:RightArm, Position: (0.00, 0.16, 0.00), Rotation: (0.38991, 0.09468, 0.04846, 0.91469)
  Bone: mixamorig:RightForeArm, Position: (0.00, 0.28, 0.00), Rotation: (0.02311, -0.33592, 0.23312, 0.91230)
  Bone: mixamorig:RightHand, Position: (0.00, 0.24, 0.00), Rotation: (-0.12674, -0.84842, -0.02361, 0.51338)
  Bone: mixamorig:RightHandIndex1, Position: (0.00, 0.42, 0.00), Rotation: (0.03353, 0.99060, -0.10092, -0.08605)
